id,mutated,cleaned
118,mov cx [esp];push ecx;push esp;pop ecx;add ecx 4;push ebx;mov ebx 2;add ecx ebx;pop ebx;xchg ecx [esp];pop esp;mov ax [esp];push 234h;mov [esp] ebp;mov ebp esp;add ebp 4;push ebx;mov ebx 2;add ebp ebx;pop ebx;xchg ebp [esp];pop esp;idiv  cl;movzx cx ah;push small 0ADFh;mov [esp] cx;movzx cx al;push cx;pushf;,pop eax;add [esp] eax;
119,mov eax [esp];push ebx;mov ebx esp;add ebx 4;push ecx;mov ecx 4;add ebx ecx;pop ecx;xor ebx [esp];xor [esp] ebx;xor ebx [esp];pop esp;bt [esp] eax;pushf;,pop ax;mov [edx] al;
120,pop dword ptr fs:[edx];,pop cx;shl dword ptr [esp] cl;pushf;
121,lodsb;sub al bl;push 0BC6h;mov [esp] ecx;mov ch 0FAh;xor al ch;mov ecx [esp];push esi;mov esi esp;add esi 4;add esi 4;xchg esi [esp];pop esp;push small 3537h;mov [esp] dx;push eax;mov ah 0A1h;mov dl ah;pop eax;xor al dl;mov dx [esp];add esp 2;xor bl al;movzx eax al;pop small word ptr [edi+eax*4];,push sp;
122,push dword ptr [edi+1Ch];popf;pop ax;adc [esp] al;pushf;,not byte ptr [esp];
123,lodsd;xor eax ebx;push edi;mov edi 2C51h;push ebx;mov ebx 4708h;add edi ebx;pop ebx;and edi 15D2h;and edi 427Bh;dec edi;add edi 53214D5h;xor eax edi;mov edi [esp];add esp 4;push ebp;mov ebp 7A8Bh;or ebp 327Eh;inc ebp;or ebp 789Dh;sub ebp 58DEh;shr ebp 4;push eax;push esi;mov esi 6917FA7Dh;mov eax esi;pop esi;add ebp eax;pop eax;sub eax ebp;pop ebp;add ebx eax;sub edx eax;,pop ax;adc [esp] al;pushf;
124,push 0CF6h;mov [esp] ecx;push edx;mov edx 5A26h;dec edx;not edx;add edx 5A52h;mov ecx edx;pop edx;add ecx edi;mov eax [ecx];pop ecx;add edx eax;,pop ax;inc word ptr [esp];pushf;
125,lodsd;add eax ebx;push ecx;mov ecx 70962435h;add eax ecx;push dword ptr [esp];mov ecx [esp];add esp 4;add esp 4;sub esp 4;mov [esp] edi;mov edi 7DA0F848h;add eax edi;mov edi [esp];push ebx;mov ebx esp;add ebx 4;add ebx 4;xchg ebx [esp];pop esp;sub ebx eax;pop small word ptr [eax];,pop cx;sar byte ptr [esp] cl;pushf;
126,pop dword ptr [edx];,pop ax;and [esp] ax;pushf;
127,mov cx [esp];push eax;sub esp 4;mov [esp] esp;add dword ptr [esp] 4;pop eax;add eax 4;add eax 2;xchg eax [esp];pop esp;sar word ptr [esp] cl;pushf;,pop cx;rol dword ptr [esp] cl;pushf;
